"","Compound name","Floxed-ND1","Floxed-ND2","Floxed-ND3","Floxed-ND4","Floxed-HF1","Floxed-HF2","Floxed-HF3","Floxed-HF4","cKO-ND1","cKO-ND2","cKO-ND3","cKO-ND4","cKO-HF1","cKO-HF2","cKO-HF3","cKO-HF4"
"11","1-Deoxymethylsphingosine",2.22044604925031e-16,2.22044604925031e-16,5.08423505976096e-05,2.22044604925031e-16,2.05803853211009e-05,3.04945143884893e-05,2.22044604925031e-16,2.22044604925031e-16,5.02882194616977e-05,6.09741729323308e-05,3.92403636363637e-05,3.55893406593406e-05,8.01887548638131e-05,4.47916310679611e-05,2.22044604925031e-16,2.22044604925031e-16
"12","1-Deoxysphinganine",0.00021256703125,0.000161385140562249,0.000222543984063745,0.000192801275797373,0.000377525486238532,0.000620596708633095,0.000415977890772127,0.000321761209964412,0.000304034016563147,0.000367043308270677,0.000546575581818182,0.000315406849816849,0.000916969571984434,0.000315456116504854,0.000436331802120141,0.000193232252964427
"13","1-Deoxysphingosine-1",6.698828125e-05,8.60335140562251e-05,9.80237051792829e-05,0.000127782833020638,0.000232709082568807,0.00046055129496403,0.000372986327683615,0.000353262295373665,0.000116973933747412,0.000155054492481203,0.000183046272727273,0.000190619835164835,0.000691776128404668,0.000359632271844659,0.000345661713780919,0.000242658023715415
"14","1-Deoxysphingosine-2",0.00028031611328125,0.000328207610441768,0.000494328645418327,0.000423858030018761,0.000129446678899083,0.000502854802158274,0.000195627758945386,0.000309777633451957,0.000646794844720497,0.00075846257518797,0.000627506472727273,0.000600757161172161,0.00159501881322957,0.00064517031067961,0.000116945424028269,0.000192738913043479
"15","1-Methyl-4-imidazoleacetic acid",0.000288330215827339,0.000266924419047618,0.00015611140569395,0.000417430056818181,0.000102967673179396,0.000117141144465291,8.7448043478261e-05,0.0001146536328125,0.000259916648550725,0.00023103145038168,0.000272233504761904,0.000258209583333333,0.000132982548262548,0.000435372681992338,0.0002086745256917,7.17549007936506e-05
"16","1-Methyladenosine",1.30374460431655e-05,1.43803809523809e-05,9.3676690391459e-06,1.93127651515151e-05,6.731865008881e-06,2.22044604925031e-16,1.55848023715415e-05,2.5788515625e-05,1.96424637681159e-05,3.50439122137405e-05,1.28713333333333e-05,2.86353623188406e-05,1.60091312741313e-05,2.22044604925031e-16,9.70624505928855e-06,2.15079365079365e-05
"17","1-Methylhistamine",6.85190647482016e-06,4.17977142857142e-06,5.41903914590747e-06,9.21522727272725e-06,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,5.05299618320612e-06,4.2743238095238e-06,6.3719384057971e-06,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"18","1-Methylhistidine
3-Methylhistidine",3.69828776978418e-05,2.25574666666666e-05,2.28491992882562e-05,3.69262499999999e-05,3.05909058614565e-05,4.12607692307691e-05,1.67705928853755e-05,3.192521484375e-05,3.04853804347826e-05,4.71122328244276e-05,3.41138666666666e-05,3.76942753623188e-05,2.1888861003861e-05,3.11656704980844e-05,2.19333596837945e-05,2.82755158730158e-05
"19","1-Methylnicotinamide",4.65001798561152e-06,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.6866838365897e-05,2.15605253283301e-05,9.84403162055338e-06,2.41688671875e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,4.42434362934363e-06,2.22044604925031e-16,2.22044604925031e-16,4.91715873015872e-05
"20","1-Methyluric acid",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.22258102766799e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.23738095238095e-05
